match_id,file,t60_prob,outcome,mins_before,brier,is_challenger
KXATPCHALLENGERMATCH-26FEB27DHAAJD,KXATPCHALLENGERMATCH-26FEB27DHAAJD-AJD_candles.csv,0.26,1,60.0,0.5476,True
KXATPCHALLENGERMATCH-26FEB27GILKAS,KXATPCHALLENGERMATCH-26FEB27GILKAS-GIL_candles.csv,0.34,1,60.0,0.4355999999999999,True
KXATPCHALLENGERMATCH-26FEB27HERDRO,KXATPCHALLENGERMATCH-26FEB27HERDRO-DRO_candles.csv,0.6,0,60.0,0.36,True
KXATPCHALLENGERMATCH-26FEB27LOKCHI,KXATPCHALLENGERMATCH-26FEB27LOKCHI-CHI_candles.csv,0.71,1,60.0,0.08410000000000002,True
KXATPCHALLENGERMATCH-26FEB27SCHSTR,KXATPCHALLENGERMATCH-26FEB27SCHSTR-SCH_candles.csv,0.32,1,60.0,0.4623999999999999,True
KXATPCHALLENGERMATCH-26FEB28CHIOFN,KXATPCHALLENGERMATCH-26FEB28CHIOFN-OFN_candles.csv,0.22,1,60.0,0.6084,True
KXATPCHALLENGERMATCH-26FEB28DEDDAM,KXATPCHALLENGERMATCH-26FEB28DEDDAM-DAM_candles.csv,0.41,1,60.0,0.3481000000000001,True
KXATPCHALLENGERMATCH-26FEB28DIAGUI,KXATPCHALLENGERMATCH-26FEB28DIAGUI-DIA_candles.csv,0.57,1,60.0,0.18490000000000004,True
KXATPCHALLENGERMATCH-26FEB28GILBUT,KXATPCHALLENGERMATCH-26FEB28GILBUT-BUT_candles.csv,0.41,0,60.0,0.16809999999999997,True
KXATPCHALLENGERMATCH-26FEB28HERGAS,KXATPCHALLENGERMATCH-26FEB28HERGAS-GAS_candles.csv,0.64,0,60.0,0.4096,True
KXATPCHALLENGERMATCH-26JAN13DEVAGU,KXATPCHALLENGERMATCH-26JAN13DEVAGU-DEV_candles.csv,0.54,1,60.0,0.21159999999999995,True
